slide_id,x,y,patch_size,clases
132208,24179,46848,256,Mitosis
132208,33310,39680,256,Tumor
132208,33310,39936,256,Tumor
132208,33566,39680,256,Tumor
132208,33566,39936,256,Tumor
132208,33566,40448,256,Tumor
132208,33566,40704,256,Tumor
132208,33822,40448,256,Tumor
132208,33822,40704,256,Tumor
132208,34078,39936,256,Tumor
132208,34078,40192,256,Tumor
132208,34078,40448,256,Tumor
132208,34078,40704,256,Tumor
132208,34334,39936,256,Tumor
132208,34334,40192,256,Tumor
132208,34334,40448,256,Tumor
132208,34334,40704,256,Tumor
132208,34590,39936,256,Tumor
132208,34590,40192,256,Tumor
132208,34590,40448,256,Tumor
132208,34590,40704,256,Tumor
132208,34845,12096,256,Tumor
132208,34845,12352,256,Tumor
132208,34845,12608,256,Tumor
132208,34846,40448,256,Tumor
132208,34846,40704,256,Tumor
132208,35101,12096,256,Tumor
132208,35101,12352,256,Tumor
132208,35101,12608,256,Tumor
132208,35101,12864,256,Tumor
132208,35357,12096,256,Tumor
132208,35357,12352,256,Tumor
132208,35357,12608,256,Tumor
132208,35357,12864,256,Tumor
132208,35357,13888,256,AreaSolida
132208,35357,14144,256,AreaSolida
132208,35357,14400,256,AreaSolida
132208,35357,14656,256,AreaSolida
132208,35357,14912,256,Permeaciones vasculares
132208,35613,12096,256,Tumor
132208,35613,12352,256,Tumor
132208,35613,12608,256,Tumor
132208,35613,13888,256,AreaSolida
132208,35613,14144,256,AreaSolida
132208,35613,14400,256,AreaSolida
132208,35613,14656,256,AreaSolida
132208,35869,12096,256,Tumor
132208,35869,12352,256,Tumor
132208,35869,12608,256,Tumor
132208,35869,13888,256,AreaSolida
132208,35869,14144,256,AreaSolida
132208,35869,14400,256,AreaSolida
132208,35869,14656,256,AreaSolida
132208,36125,12096,256,Tumor
132208,36125,12352,256,Tumor
132208,36125,12608,256,Tumor
132208,36125,14400,256,AreaSolida
132208,36125,14656,256,AreaSolida
132208,36381,12352,256,Tumor
132208,36381,12608,256,Tumor
132208,36381,13376,256,Tumor
132208,36381,13632,256,Tumor
132208,36381,13888,256,Tumor
132208,36381,14656,256,AreaSolida
132208,36637,13376,256,Tumor
132208,36637,13632,256,Tumor
132208,36637,13888,256,Tumor
132208,36893,13632,256,Tumor
132208,36893,13888,256,Tumor
132208,37149,16448,256,AreaSolida
132208,37149,16704,256,AreaSolida
132208,37149,16960,256,AreaSolida
132208,37149,17216,256,AreaSolida
132208,37149,17472,256,AreaSolida
132208,37405,16448,256,AreaSolida
132208,37405,16704,256,AreaSolida
132208,37405,16960,256,AreaSolida
132208,37405,17216,256,AreaSolida
132208,37405,17472,256,AreaSolida
132208,37405,17728,256,AreaSolida
132208,37405,17984,256,Nucleos mod grado
132208,37661,16704,256,AreaSolida
132208,37661,16960,256,AreaSolida
132208,37661,17216,256,AreaSolida
132208,37661,17472,256,AreaSolida
132208,37917,17216,256,AreaSolida
132208,37917,17472,256,AreaSolida
132208,37917,17728,256,Nucleos mod grado
132208,37917,17984,256,Nucleos mod grado
132208,38173,17984,256,Nucleos mod grado
132208,38173,18240,256,Nucleos mod grado
132208,38429,18240,256,Nucleos mod grado
