slide_id,x,y,patch_size,clases
131461-1,11376,11392,256,Tumor
131461-1,11376,13184,256,Tumor
131461-1,11376,13440,256,Tumor
131461-1,11632,11392,256,Tumor
131461-1,11632,12416,256,Tumor
131461-1,11632,12672,256,Tumor
131461-1,11632,13184,256,Tumor
131461-1,11632,13440,256,Tumor
131461-1,11632,13696,256,CDIS_cribiforme
131461-1,11632,13952,256,CDIS_cribiforme
131461-1,11632,14208,256,CDIS_cribiforme
131461-1,11632,14464,256,CDIS_cribiforme
131461-1,11888,13184,256,Tumor
131461-1,11888,13440,256,Tumor
131461-1,11888,13696,256,CDIS_cribiforme
131461-1,11888,13952,256,CDIS_cribiforme
131461-1,11888,14208,256,CDIS_cribiforme
131461-1,11888,14464,256,CDIS_cribiforme
131461-1,12144,13184,256,Tumor
131461-1,12144,13440,256,Tumor
131461-1,12144,13696,256,CDIS_cribiforme
131461-1,12144,13952,256,CDIS_cribiforme
131461-1,12144,14208,256,CDIS_cribiforme
131461-1,12144,14464,256,CDIS_cribiforme
131461-1,12400,13696,256,CDIS_cribiforme
131461-1,12400,13952,256,CDIS_cribiforme
131461-1,12400,14208,256,CDIS_cribiforme
131461-1,12400,14464,256,CDIS_cribiforme
131461-1,13168,14720,256,Tumor
131461-1,13168,14976,256,Tumor
131461-1,13168,15232,256,Tumor
131461-1,13424,14720,256,Tumor
131461-1,13424,14976,256,Tumor
131461-1,13424,15232,256,Tumor
131461-1,13680,14720,256,Tumor
131461-1,13680,14976,256,Tumor
131461-1,13680,15232,256,Tumor
131461-1,13936,14976,256,Tumor
131461-1,13936,15232,256,Tumor
131461-1,13936,15488,256,Tumor
131461-1,13936,15744,256,Tumor
131461-1,13936,16000,256,Tumor
131461-1,13936,16256,256,Tumor
131461-1,14192,14976,256,Tumor
131461-1,14192,15232,256,Tumor
131461-1,14192,15488,256,Tumor
131461-1,14192,15744,256,Tumor
131461-1,14192,16000,256,Tumor
131461-1,14192,16256,256,Tumor
131461-1,14448,14976,256,Tumor
131461-1,14448,15232,256,Tumor
131461-1,14448,15488,256,Tumor
131461-1,14448,15744,256,Tumor
131461-1,14448,16000,256,Tumor
131461-1,14448,16256,256,Tumor
131461-1,14704,15744,256,Tumor
131461-1,14704,16000,256,Tumor
131461-1,14704,16256,256,Tumor
131461-1,14960,14464,256,Tumor
131461-1,14960,14720,256,Tumor
131461-1,15216,14464,256,Tumor
131461-1,15216,14720,256,Tumor
131461-1,15472,14208,256,Nucleos mod grado
131461-1,15472,14464,256,Nucleos mod grado
131461-1,15728,13952,256,Nucleos mod grado
131461-1,15984,13952,256,Nucleos mod grado
131461-1,16240,14208,256,Nucleos mod grado
131461-1,20330,4992,256,AreaSolida
131461-1,20330,5248,256,AreaSolida
131461-1,20330,5504,256,AreaSolida
131461-1,20586,4992,256,AreaSolida
131461-1,20586,5248,256,AreaSolida
131461-1,20586,5504,256,AreaSolida
131461-1,20586,5760,256,AreaSolida
131461-1,20586,6016,256,AreaSolida
131461-1,20842,4992,256,AreaSolida
131461-1,20842,5248,256,AreaSolida
131461-1,20842,5504,256,AreaSolida
131461-1,20842,5760,256,AreaSolida
131461-1,20842,6016,256,AreaSolida
131461-1,21098,5248,256,AreaSolida
131461-1,21098,5504,256,AreaSolida
131461-1,21098,5760,256,AreaSolida
131461-1,21098,6016,256,AreaSolida
131461-1,21354,5248,256,AreaSolida
131461-1,21354,5760,256,AreaSolida
131461-1,22701,10240,256,Mitosis
131461-1,22896,20608,256,AreaTubular
131461-1,22896,20864,256,AreaTubular
131461-1,22896,21120,256,AreaTubular
131461-1,23152,20608,256,AreaTubular
131461-1,23152,20864,256,AreaTubular
131461-1,23152,21120,256,AreaTubular
131461-1,23408,21376,256,AreaTubular
131461-1,23408,21632,256,AreaTubular
131461-1,23664,21376,256,AreaTubular
131461-1,23664,21632,256,AreaTubular
131461-1,23664,21888,256,AreaTubular
131461-1,23920,21632,256,AreaTubular
131461-1,23920,21888,256,AreaTubular
131461-1,24176,21632,256,AreaTubular
131461-1,24176,21888,256,AreaTubular
131461-1,25067,48768,256,Mitosis
131461-1,25323,48768,256,Mitosis
131461-1,25517,13312,256,AreaSolida
131461-1,25517,13568,256,AreaSolida
131461-1,25517,13824,256,AreaSolida
131461-1,25631,3392,256,Mitosis
131461-1,25773,13312,256,AreaSolida
131461-1,25773,13568,256,AreaSolida
131461-1,25773,13824,256,AreaSolida
131461-1,26029,13312,256,AreaSolida
131461-1,26029,13568,256,AreaSolida
131461-1,26029,13824,256,AreaSolida
131461-1,27053,13056,256,Mitosis
131461-1,27053,13824,256,Mitosis
131461-1,27679,4416,256,AreaTubular
131461-1,27935,4416,256,AreaTubular
131461-1,27935,5184,256,Nucleos mod grado
131461-1,27935,5440,256,Nucleos mod grado
131461-1,27935,5696,256,Nucleos mod grado
131461-1,28191,4672,256,AreaTubular
131461-1,28191,4928,256,AreaTubular
131461-1,28191,5184,256,Nucleos mod grado
131461-1,28447,4672,256,AreaTubular
131461-1,28447,4928,256,AreaTubular
131461-1,28447,6208,256,AreaSolida
131461-1,28447,6464,256,AreaSolida
131461-1,29290,10624,256,CDIS_micropapilar
131461-1,29290,10880,256,CDIS_micropapilar
131461-1,29290,11136,256,CDIS_micropapilar
131461-1,29546,10624,256,CDIS_micropapilar
131461-1,29546,10880,256,CDIS_micropapilar
131461-1,29546,11136,256,CDIS_micropapilar
131461-1,29546,11392,256,CDIS_micropapilar
131461-1,29546,11648,256,CDIS_micropapilar
131461-1,29546,11904,256,CDIS_micropapilar
131461-1,29802,10624,256,CDIS_micropapilar
131461-1,29802,10880,256,CDIS_micropapilar
131461-1,29802,11136,256,CDIS_micropapilar
131461-1,29802,11392,256,CDIS_micropapilar
131461-1,29802,11648,256,CDIS_micropapilar
131461-1,29802,11904,256,CDIS_micropapilar
131461-1,30058,10624,256,CDIS_micropapilar
131461-1,30058,10880,256,CDIS_micropapilar
131461-1,30058,11136,256,CDIS_micropapilar
131461-1,30058,11392,256,CDIS_micropapilar
131461-1,30058,11648,256,CDIS_micropapilar
131461-1,30058,11904,256,CDIS_micropapilar
131461-1,30058,12160,256,CDIS_micropapilar
131461-1,30314,10624,256,CDIS_micropapilar
131461-1,30314,10880,256,CDIS_micropapilar
131461-1,30314,11136,256,CDIS_micropapilar
131461-1,30314,11392,256,CDIS_micropapilar
131461-1,30314,11648,256,CDIS_micropapilar
131461-1,30314,11904,256,CDIS_micropapilar
131461-1,30314,12160,256,CDIS_micropapilar
131461-1,30570,11392,256,CDIS_micropapilar
131461-1,30570,11648,256,CDIS_micropapilar
131461-1,30570,11904,256,CDIS_micropapilar
131461-1,30570,12160,256,CDIS_micropapilar
131461-1,33571,39936,256,CDIS_micropapilar
131461-1,33571,40192,256,CDIS_micropapilar
131461-1,33571,40448,256,CDIS_micropapilar
131461-1,33571,40704,256,CDIS_micropapilar
131461-1,33827,39936,256,CDIS_micropapilar
131461-1,33827,40192,256,CDIS_micropapilar
131461-1,33827,40448,256,CDIS_micropapilar
131461-1,33827,40704,256,CDIS_micropapilar
131461-1,34083,39936,256,CDIS_micropapilar
131461-1,34083,40192,256,CDIS_micropapilar
131461-1,34083,40448,256,CDIS_micropapilar
131461-1,34083,40704,256,CDIS_micropapilar
131461-1,34339,39936,256,CDIS_micropapilar
131461-1,34339,40192,256,CDIS_micropapilar
131461-1,34339,40448,256,CDIS_micropapilar
131461-1,34339,40704,256,CDIS_micropapilar
131461-1,34595,39936,256,CDIS_micropapilar
131461-1,34595,40192,256,CDIS_micropapilar
131461-1,34595,40448,256,CDIS_micropapilar
131461-1,34595,40704,256,CDIS_micropapilar
